round,coverage,precision_k,n_accepted,n_recs,n_active_users,n_skipped_users,mrr@5,mrr@10,mrr@20,hits@5,clustering_diff,degree_kl
0,0.06700827749310209,0.011947431302270013,10.0,837.0,189.0,0.0,1.0,1.0,1.0,1.0,0.08487705927669893,3.6284498106721506
1,0.06750098541584548,0.010111223458038422,10.0,989.0,189.0,0.0,1.0,1.0,1.0,1.0,,
2,0.06769806858494284,0.003805899143672693,4.0,1051.0,189.0,0.0,1.0,1.0,1.0,1.0,,
3,0.06819077650768625,0.009861932938856016,10.0,1014.0,189.0,0.0,1.0,1.0,1.0,1.0,,
4,0.06853567205360662,0.006244424620874219,7.0,1121.0,189.0,0.0,1.0,1.0,1.0,1.0,,
5,0.06902837997635002,0.009940357852882704,10.0,1006.0,189.0,0.0,1.0,1.0,1.0,1.0,,
6,0.06942254631454474,0.007272727272727273,8.0,1100.0,189.0,0.0,1.0,1.0,1.0,1.0,,
7,0.0696196294836421,0.0035555555555555557,4.0,1125.0,189.0,0.0,1.0,1.0,1.0,1.0,,
8,0.06981671265273946,0.003805899143672693,4.0,1051.0,189.0,0.0,1.0,1.0,1.0,1.0,,
9,0.07016160819865984,0.006227758007117438,7.0,1124.0,189.0,0.0,1.0,1.0,1.0,1.0,,
10,0.07035869136775719,0.003798670465337132,4.0,1053.0,189.0,0.0,1.0,1.0,1.0,1.0,0.0734709455666392,3.5535453602910994
11,0.07075285770595191,0.007662835249042145,8.0,1044.0,189.0,0.0,1.0,1.0,1.0,1.0,,
12,0.07094994087504927,0.0036529680365296802,4.0,1095.0,189.0,0.0,1.0,1.0,1.0,1.0,,
13,0.07114702404414663,0.003784295175023652,4.0,1057.0,189.0,0.0,1.0,1.0,1.0,1.0,,
14,0.07139337800551833,0.004703668861712135,5.0,1063.0,189.0,0.0,1.0,1.0,1.0,1.0,,
15,0.07163973196689002,0.004432624113475178,5.0,1128.0,189.0,0.0,1.0,1.0,1.0,1.0,,
16,0.07193535672053607,0.005333333333333333,6.0,1125.0,189.0,0.0,1.0,1.0,1.0,1.0,,
17,0.07203389830508475,0.0018083182640144665,2.0,1106.0,189.0,0.0,1.0,1.0,1.0,1.0,,
18,0.07218171068190776,0.002652519893899204,3.0,1131.0,189.0,0.0,1.0,1.0,1.0,1.0,,
19,0.07232952305873079,0.0027522935779816515,3.0,1090.0,189.0,0.0,1.0,1.0,1.0,1.0,,
20,0.07252660622782814,0.0035460992907801418,4.0,1128.0,189.0,0.0,1.0,1.0,1.0,1.0,0.06739297091600113,2.0955544186425934
21,0.07277296018919985,0.004873294346978557,5.0,1026.0,189.0,0.0,1.0,1.0,1.0,1.0,,
22,0.07292077256602286,0.0026642984014209592,3.0,1126.0,189.0,0.0,1.0,1.0,1.0,1.0,,
23,0.0729700433582972,0.0008680555555555555,1.0,1152.0,189.0,0.0,,,,,,
24,0.07306858494284588,0.00156128024980484,2.0,1281.0,189.0,0.0,1.0,1.0,1.0,1.0,,
25,0.07341348048876625,0.006622516556291391,7.0,1057.0,189.0,0.0,1.0,1.0,1.0,1.0,,
26,0.07351202207331493,0.0018248175182481751,2.0,1096.0,189.0,0.0,1.0,1.0,1.0,1.0,,
27,0.07385691761923532,0.006369426751592357,7.0,1099.0,189.0,0.0,1.0,1.0,1.0,1.0,,
28,0.07400472999605834,0.0027906976744186047,3.0,1075.0,189.0,0.0,1.0,1.0,1.0,1.0,,
29,0.07400472999605834,0.0,0.0,1086.0,189.0,0.0,,,,,,
30,0.0742018131651557,0.003367003367003367,4.0,1188.0,189.0,0.0,1.0,1.0,1.0,1.0,0.06562582020476954,2.0526353008896026
31,0.0744481671265274,0.004739336492890996,5.0,1055.0,189.0,0.0,1.0,1.0,1.0,1.0,,
32,0.07449743791880173,0.0008703220191470844,1.0,1149.0,189.0,0.0,1.0,1.0,1.0,1.0,,
33,0.07469452108789909,0.0033927056827820186,4.0,1179.0,189.0,0.0,1.0,1.0,1.0,1.0,,
34,0.07479306267244777,0.0015444015444015444,2.0,1295.0,189.0,0.0,1.0,1.0,1.0,1.0,,
35,0.07494087504927079,0.0027726432532347504,3.0,1082.0,189.0,0.0,1.0,1.0,1.0,1.0,,
36,0.07499014584154513,0.0008665511265164644,1.0,1154.0,189.0,0.0,1.0,1.0,1.0,1.0,,
37,0.07503941663381947,0.0008680555555555555,1.0,1152.0,189.0,0.0,1.0,1.0,1.0,1.0,,
38,0.07533504138746551,0.005080440304826418,6.0,1181.0,189.0,0.0,1.0,1.0,1.0,1.0,,
39,0.07563066614111155,0.00495458298926507,6.0,1211.0,189.0,0.0,1.0,1.0,1.0,1.0,,
40,0.07567993693338589,0.000856898029134533,1.0,1167.0,189.0,0.0,,,,,0.06426488893088098,2.040614699531002
41,0.07582774931020891,0.0025906735751295338,3.0,1158.0,189.0,0.0,1.0,1.0,1.0,1.0,,
42,0.07587702010248325,0.0008071025020177562,1.0,1239.0,189.0,0.0,1.0,1.0,1.0,1.0,,
43,0.07622191564840362,0.0070859167404783,8.0,1129.0,189.0,0.0,1.0,1.0,1.0,1.0,,
44,0.0763204572329523,0.0017064846416382253,2.0,1172.0,189.0,0.0,1.0,1.0,1.0,1.0,,
45,0.07646826960977532,0.0027397260273972603,3.0,1095.0,189.0,0.0,1.0,1.0,1.0,1.0,,
46,0.07666535277887268,0.00354295837023915,4.0,1129.0,189.0,0.0,1.0,1.0,1.0,1.0,,
47,0.0770595191170674,0.007373271889400922,8.0,1085.0,189.0,0.0,1.0,1.0,1.0,1.0,,
48,0.07720733149389042,0.002529510961214165,3.0,1186.0,189.0,0.0,1.0,1.0,1.0,1.0,,
49,0.0773058730784391,0.0017482517482517483,2.0,1144.0,189.0,0.0,1.0,1.0,1.0,1.0,,
50,0.07745368545526211,0.0024916943521594683,3.0,1204.0,189.0,0.0,1.0,1.0,1.0,1.0,0.06359954709281121,2.029241218293331
51,0.07745368545526211,0.0,0.0,1123.0,189.0,0.0,,,,,,
52,0.07784785179345684,0.006589785831960461,8.0,1214.0,189.0,0.0,1.0,1.0,1.0,1.0,,
53,0.07799566417027985,0.0027548209366391185,3.0,1089.0,189.0,0.0,1.0,1.0,1.0,1.0,,
54,0.07853764288529759,0.009691629955947136,11.0,1135.0,189.0,0.0,1.0,1.0,1.0,1.0,,
55,0.07858691367757194,0.0008688097306689834,1.0,1151.0,189.0,0.0,1.0,1.0,1.0,1.0,,
56,0.07888253843121798,0.0052585451358457495,6.0,1141.0,189.0,0.0,1.0,1.0,1.0,1.0,,
57,0.07893180922349231,0.0008368200836820083,1.0,1195.0,189.0,0.0,1.0,1.0,1.0,1.0,,
58,0.07922743397713836,0.004862236628849271,6.0,1234.0,189.0,0.0,1.0,1.0,1.0,1.0,,
59,0.07942451714623572,0.0035211267605633804,4.0,1136.0,189.0,0.0,1.0,1.0,1.0,1.0,,
60,0.07967087110760741,0.005035246727089627,5.0,993.0,189.0,0.0,1.0,1.0,1.0,1.0,0.06284206041060705,1.7442886614605575
61,0.07967087110760741,0.0,0.0,1175.0,189.0,0.0,,,,,,
62,0.0797694126921561,0.0017825311942959,2.0,1122.0,189.0,0.0,1.0,1.0,1.0,1.0,,
63,0.07986795427670478,0.0016142050040355124,2.0,1239.0,189.0,0.0,1.0,1.0,1.0,1.0,,
64,0.08011430823807647,0.004629629629629629,5.0,1080.0,189.0,0.0,1.0,1.0,1.0,1.0,,
65,0.0801635790303508,0.0008216926869350862,1.0,1217.0,189.0,0.0,1.0,1.0,1.0,1.0,,
66,0.08026212061489948,0.0016963528413910093,2.0,1179.0,189.0,0.0,1.0,1.0,1.0,1.0,,
67,0.08040993299172251,0.002583979328165375,3.0,1161.0,189.0,0.0,1.0,1.0,1.0,1.0,,
68,0.08065628695309421,0.004233700254022015,5.0,1181.0,189.0,0.0,1.0,1.0,1.0,1.0,,
69,0.0809026409144659,0.004125412541254125,5.0,1212.0,189.0,0.0,1.0,1.0,1.0,1.0,,
70,0.08100118249901458,0.0016366612111292963,2.0,1222.0,189.0,0.0,1.0,1.0,1.0,1.0,0.06274502392369938,1.7331266464632171
71,0.08100118249901458,0.0,0.0,1170.0,189.0,0.0,,,,,,
72,0.0811489948758376,0.0026619343389529724,3.0,1127.0,189.0,0.0,1.0,1.0,1.0,1.0,,
73,0.08129680725266063,0.002510460251046025,3.0,1195.0,189.0,0.0,1.0,1.0,1.0,1.0,,
74,0.08139534883720931,0.0016260162601626016,2.0,1230.0,189.0,0.0,1.0,1.0,1.0,1.0,,
75,0.08139534883720931,0.0,0.0,1180.0,189.0,0.0,,,,,,
76,0.08169097359085534,0.00510204081632653,6.0,1176.0,189.0,0.0,1.0,1.0,1.0,1.0,,
77,0.08198659834450138,0.005190311418685121,6.0,1156.0,189.0,0.0,1.0,1.0,1.0,1.0,,
78,0.08208513992905006,0.0019047619047619048,2.0,1050.0,189.0,0.0,1.0,1.0,1.0,1.0,,
79,0.08218368151359874,0.0016326530612244899,2.0,1225.0,189.0,0.0,1.0,1.0,1.0,1.0,,
80,0.08223295230587307,0.0008431703204047217,1.0,1186.0,189.0,0.0,1.0,1.0,1.0,1.0,0.062495173052163996,1.7244060107375032
81,0.08223295230587307,0.0,0.0,1213.0,189.0,0.0,,,,,,
82,0.08243003547497044,0.003167062549485352,4.0,1263.0,189.0,0.0,1.0,1.0,1.0,1.0,,
83,0.08272566022861648,0.004858299595141701,6.0,1235.0,189.0,0.0,1.0,1.0,1.0,1.0,,
84,0.08277493102089081,0.0008237232289950577,1.0,1214.0,189.0,0.0,1.0,1.0,1.0,1.0,,
85,0.08292274339771384,0.0024630541871921183,3.0,1218.0,189.0,0.0,1.0,1.0,1.0,1.0,,
86,0.08321836815135987,0.005591798695246971,6.0,1073.0,189.0,0.0,1.0,1.0,1.0,1.0,,
87,0.08331690973590855,0.0017226528854435831,2.0,1161.0,189.0,0.0,1.0,1.0,1.0,1.0,,
88,0.08356326369728025,0.004332755632582322,5.0,1154.0,189.0,0.0,1.0,1.0,1.0,1.0,,
89,0.08356326369728025,0.0,0.0,1078.0,189.0,0.0,,,,,,
90,0.08371107607410327,0.002575107296137339,3.0,1165.0,189.0,0.0,1.0,1.0,1.0,1.0,0.06203985787026956,1.703894564445466
91,0.08376034686637761,0.0008143322475570033,1.0,1228.0,189.0,0.0,1.0,1.0,1.0,1.0,,
92,0.08400670082774932,0.0041981528127623844,5.0,1191.0,189.0,0.0,1.0,1.0,1.0,1.0,,
93,0.08405597162002365,0.0008012820512820513,1.0,1248.0,189.0,0.0,1.0,1.0,1.0,1.0,,
94,0.08420378399684667,0.0026642984014209592,3.0,1126.0,189.0,0.0,1.0,1.0,1.0,1.0,,
95,0.08454867954276704,0.005430566330488751,7.0,1289.0,189.0,0.0,1.0,1.0,1.0,1.0,,
96,0.08469649191959007,0.002548853016142736,3.0,1177.0,189.0,0.0,1.0,1.0,1.0,1.0,,
97,0.0847457627118644,0.0009033423667570009,1.0,1107.0,189.0,0.0,1.0,1.0,1.0,1.0,,
98,0.08494284588096176,0.003734827264239029,4.0,1071.0,189.0,0.0,1.0,1.0,1.0,1.0,,
99,0.08494284588096176,0.0,0.0,1157.0,189.0,0.0,,,,,,
